Date Time,Total Count Confirmed
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,2
1/27/2020,2
1/28/2020,2
1/29/2020,2
1/30/2020,2
1/31/2020,3
2/1/2020,3
2/2/2020,3
2/3/2020,6
2/4/2020,6
2/5/2020,6
2/6/2020,6
2/7/2020,6
2/8/2020,6
2/9/2020,6
2/10/2020,6
2/11/2020,7
2/12/2020,7
2/13/2020,8
2/14/2020,8
2/15/2020,8
2/16/2020,8
2/17/2020,8
2/18/2020,8
2/19/2020,8
2/20/2020,8
2/21/2020,10
2/22/2020,10
2/23/2020,10
2/24/2020,10
2/25/2020,10
2/26/2020,10
2/27/2020,11
2/28/2020,11
2/29/2020,12
3/1/2020,12
3/2/2020,21
3/3/2020,25
3/4/2020,35
3/5/2020,51
3/6/2020,59
3/7/2020,81
3/8/2020,95
3/9/2020,101
3/10/2020,144
3/11/2020,178
3/12/2020,221
3/13/2020,281
3/14/2020,371
3/15/2020,373
3/16/2020,557
3/17/2020,700
3/18/2020,828
3/19/2020,1005
3/20/2020,1243
3/21/2020,1405
3/22/2020,1646
3/23/2020,2108
3/24/2020,2538
3/25/2020,2998
3/26/2020,3899
3/27/2020,4645
3/28/2020,5095
3/29/2020,5852
3/30/2020,7138
3/31/2020,8210
4/1/2020,9399
4/2/2020,10773
4/3/2020,12004
4/4/2020,12837
4/5/2020,15034
4/6/2020,15976
4/7/2020,17309
4/8/2020,18730
4/9/2020,19706
4/10/2020,21077
4/11/2020,21702
4/12/2020,22787
4/13/2020,23931
4/14/2020,24424
4/15/2020,26182
4/16/2020,27528
4/17/2020,28963
4/18/2020,30333
4/19/2020,30978
4/20/2020,33261
4/21/2020,35396
4/22/2020,37369
4/23/2020,39254
4/24/2020,41137
4/25/2020,42164
4/26/2020,43464
4/27/2020,45031
4/28/2020,46500
4/29/2020,48917
